Reference,Qty,Description,Part Number,Manufacturer,Mouser,Digikey

"C1,C2,C4,C5,C7,C9,C10,C12,C15,C16,C17,C18,C20",15,"CAP 0.1UF, 0603, 50V",C1608X7R1H104K080AA,TDK,810-C1608X7R1H104K,445-1314-1-ND
"C3,C8", 3, "CAP 10UF, 0603, 10V", GRM188R61A106ME69D, Murata Electronics, 81-GRM188R61A106ME9D, 490-10475-1-ND
"C6", 2, "CAP 4.7UF, 0603, 10V", EMK107ABJ475KA-T, Taiyo Yuden, 963-EMK107ABJ475KA-T, 587-2786-1-ND
"C13", 2, "CAP 0.01UF, 0603, 50V", CGA3E2X7R1H103K080AA, TDK, 810-CGA3E2X7R1H103K, 445-5662-1-ND
"C21", 2, "CAP 1UF, 0603, 50V", UMK107BJ105KA-T, Taiyo Yuden, 963-UMK107BJ105KA-T, 587-2400-1-ND
"L1", 2, "FERRITE BEAD, 11OHM, 0805", ACML-0805-110-T, ABRACON, 815-ACML-0805-110T, 535-ACML-0805-110-TCT-ND
"D1", 2, "GREEN LED, 0603", LSM0603453V, VCC, 593-LSM0603453V, LSM0603453VCT-ND
"D2", 1, "IC VREF SHUNT, SC-70", AD1580BKSZ-REEL7, Analog Devices, 584-AD1580BKSZ-R7, 505-AD1580BKSZ-REEL7CT-ND
"R1", 1, "RES, 250OHM, 0603", RT0603BRE07250RL, YAGEO, 603-RT0603BRE07250RL, 13-RT0603BRE07250RLCT-ND
"R2,R10", 3, "RES, 4.7KOHM, 0603", ERJ-3GEYJ472V, Panasonic, 667-ERJ-3GEYJ472V, P4.7KGCT-ND
"R3", 2, "RES, 100OHM, 0603", CRCW0603100RFKEAHP, Vishay / Dale, 71-CRCW0603100RFKEAH, 541-100SCT-ND
"R4,R5", 3, "RES, 75OHM, 0603", RT0603FRE0775RL, YAGEO, 603-RT0603FRE0775RL, YAG5970CT-ND
"R7", 2, "RES, 348OHM, 0603, 1%", ERJ-3EKF3480V, Panasonic, ERJ-3EKF3480V, 667-ERJ-3EKF3480V, P348HCT-ND
"R8, R13, R14", 4, "RES, 10KOHM, 0603", CR0603-FX-1002ELF, Bourns, 652-CR0603FX-1002ELF, CR0603-FX-1002ELFCT-ND
"R9", 2, "RES, 180OHMS, 0603", CR0603-FX-1800ELF, Bourns, 652-CR0603FX-1800ELF, CR0603-FX-1800ELFCT-ND
"R11, R16", 3, "RES, 330OHMS, 0603", RC0603FR-07330RL, YAGEO, 603-RC0603FR-07330RL, 311-330HRCT-ND
"R12, R15", 3, "RES, 1KOHM, 0603", ERJ-3EKF1001V, Panasonic, 667-ERJ-3EKF1001V, P1.00KHCT-ND
"U1", 1, "FPGA, 100-VQFP", XC3S200A-5VQG100C, Xilinx, 217-C3S200A-5VQG100C, 122-1595-ND
"U2", 1, "IC DAC, 8BIT A-OUT, 48LQFP", ADV7125KSTZ50, Analog Devices, 584-ADV7125KSTZ50, ADV7125KSTZ50-REELCT-ND
"U4", 1, "IC REG LINEAR, 1.2V, 300MA, SOT23-5", TLV70212DBVR, 595-TLV70212DBVR, 296-29583-1-ND
"U5", 1, "IC FLASH, 4MBIT SPI, 75MHZ, 8SO", M25P40-VMN6PB, Micron, 340-180570, 557-1583-5-ND
"CON1", 1, "CONN FPC BOTTOM 20POS 0.50MM", 2-1734592-0, TE Connectivity, 571-2-1734592-0, A100287CT-ND
